case_name,csv_name,env_id,terrain_col,terrain_name,terrain_level,num_samples,duration_s,Kp,Kd,J_axis,B_axis,tau_load,tau_v,old_gap_mean,old_error_mean,new_error_mean,rms_target_error_new,p95_target_error_new,error_reduction_ratio,max_abs_qdot_new,qdot_limit_rate,sat_ratio,max_abs_tau_new,oscillation_score,smoothness_cost,qdot_alloc_rmse,qdot_alloc_smoothness,old_qdot_rms,new_qdot_rms,new_vs_old_qdot_ratio,risk_score,csv_path
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,120,24,0.1,0.5,0,0.04,0,0.0473947711856742,0.0381925624560467,0.0523942729693354,0.10605062043905,0.194160843051165,2,0.520172509738453,0,50.9993049239971,0.191826522101751,0.0495851282519543,0.166821766643999,0.00739112553079242,0.586700067300011,1.8176812757831,3.09814397013462,0.490372872804361,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,120,32,0.1,0.5,0,0.04,0,0.0473947711856742,0.0684823272084795,0.0841658900123953,0.154944710088963,-0.444934229984833,2,0.972871452420701,0.593767390094602,60,0.0333611342785655,0.00467342118644838,0.0614545146769785,0.000837679070061947,0.586700067300011,1.99163407963763,3.39463755101157,2.89289676778883,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,160,6,0.1,0.5,0,0.04,0,0.0473947711856742,0.0266592103818873,0.0384484559584103,0.0751806066389503,0.437507351234024,2,0.0492487479131886,0,45.2619502627751,21.7848206839033,0.808192708682634,0.574182527120815,0.0880920587759967,0.586700067300011,0.840800853093513,1.43310168168699,0.406145958957447,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,160,8,0.1,0.5,0,0.04,0,0.0473947711856742,0.0269603137893854,0.0386125464269814,0.076180074644243,0.431154257844913,2,0.0289371174179188,0,41.6711608066567,23.2360300250208,0.668150932926086,0.498417968151411,0.0663757787985708,0.586700067300011,0.730983794896885,1.24592417086445,0.392950800624811,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,160,10,0.1,0.5,0,0.04,0,0.0473947711856742,0.0276013498754653,0.0392939439928482,0.0791520698253289,0.417628797756317,2,0.016833611574847,0,37.9590674546541,23.9199332777314,0.517321051160638,0.429280849800938,0.0492383132945174,0.586700067300011,0.634215775824333,1.0809880740989,0.370264892884907,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,160,12,0.1,0.5,0,0.04,0,0.0473947711856742,0.0283746478620803,0.0402078629360275,0.081718126629172,0.40131269437045,2,0.0102949360044519,0,34.1838810088777,23.7698081734779,0.367368327179921,0.363436065958004,0.0352934563077598,0.586700067300011,0.5452160017174,0.929292550155107,0.339546395032843,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,160,16,0.1,0.5,0,0.04,0,0.0473947711856742,0.029946620723534,0.0423315636387444,0.0876560923423137,0.368145051144675,2,0.00361713967723984,0,26.5160778558228,20.2418682235196,0.134382379862433,0.239645512937753,0.0153499321442053,0.586700067300011,0.384406181783154,0.655200507394158,0.259241778931217,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,160,24,0.1,0.5,0,0.04,0,0.0473947711856742,0.0361418135003124,0.0492945871200314,0.0989692709787534,0.23743036212322,2,0.46661101836394,0,51.6597082833137,0.383653044203503,0.080958094178753,0.216684072666433,0.0125008427576272,0.586700067300011,1.75470295542136,2.99080067179213,0.389391999505978,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,160,32,0.1,0.5,0,0.04,0,0.0473947711856742,0.0595757531716152,0.0740725347422564,0.137035680014664,-0.257011093865622,2,0.945603784084585,0.575403450194769,60,0.0750625521267723,0.016247737106935,0.100007262942311,0.0025125584406269,0.586700067300011,1.98016942114188,3.37509663200587,2.41961258240422,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,220,6,0.1,0.5,0,0.04,0,0.0473947711856742,0.0242622871378338,0.0362921244639071,0.0708025166721433,0.488080931063394,2,0.094045631608236,0.000139120756816917,60,23.302752293578,1.33450400208213,0.709614854002038,0.134526517996468,0.586700067300011,1.010263713654,1.72194238583136,0.52419061049004,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,220,8,0.1,0.5,0,0.04,0,0.0473947711856742,0.0244246332161939,0.0361411931028673,0.0696637808365601,0.484655530448545,2,0.0610740122426266,0.000139120756816917,60,24.5371142618849,1.1232940278293,0.627016744440091,0.10503282868177,0.586700067300011,0.89471605692426,1.52499736542001,0.494454581400903,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
