group,tag,count,first_step,last_step,first_value,last_value,delta,min_value,max_value,mean_value,csv_path
episode_reset,episode_reset/root_too_low_rate,600,0,599,0.0,0.0,0.0,0.0,0.0,0.0,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_reset__root_too_low_rate.csv
episode_reset,episode_reset/terminated_rate,600,0,599,0.0,0.0,0.0,0.0,1.0,0.15385417085606604,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_reset__terminated_rate.csv
episode_reset,episode_reset/time_out_rate,600,0,599,0.9166666865348816,1.0,0.08333331346511841,0.0,1.0,0.8460069528470436,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_reset__time_out_rate.csv
Action,Action/motor_strength_mean,600,0,599,1.0,1.0,0.0,1.0,1.0,1.0,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Action__motor_strength_mean.csv
Action,Action/policy_abs_mean,600,0,599,0.5150077939033508,0.8726714849472046,0.35766369104385376,0.5081568360328674,0.8786444067955017,0.8050800710916519,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Action__policy_abs_mean.csv
Action,Action/policy_std,600,0,599,0.6098446846008301,0.8794715404510498,0.2696268558502197,0.6031742095947266,0.8812378644943237,0.8253592786192894,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Action__policy_std.csv
Action,Action/processed_abs_mean,600,0,599,0.5150077939033508,0.8726714849472046,0.35766369104385376,0.5081568360328674,0.8786444067955017,0.8050800710916519,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Action__processed_abs_mean.csv
Action,Action/processed_std,600,0,599,0.6098446846008301,0.8794715404510498,0.2696268558502197,0.6031742095947266,0.8812378644943237,0.8253592786192894,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Action__processed_std.csv
Command,Command/ang_vel_yaw,600,0,599,-0.037803906947374344,0.04076497256755829,0.07856887951493263,-0.2899419963359833,0.17441892623901367,-0.011449186623528174,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Command__ang_vel_yaw.csv
Command,Command/lin_vel_x,600,0,599,-0.039813071489334106,-0.04031408205628395,-0.0005010105669498444,-0.20422497391700745,0.18945300579071045,-0.004714536543033319,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Command__lin_vel_x.csv
Observation,Observation/ball_joint_pos_abs_mean,600,0,599,0.09909018129110336,0.22901210188865662,0.12992192059755325,0.09435316175222397,0.4404475688934326,0.24179758633176485,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__ball_joint_pos_abs_mean.csv
Observation,Observation/ball_joint_target_error_abs_mean,600,0,599,0.37972089648246765,0.5552750825881958,0.17555418610572815,0.37195277214050293,0.5643934011459351,0.51740545814236,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__ball_joint_target_error_abs_mean.csv
Observation,Observation/ball_joint_vel_abs_mean,600,0,599,1.9545888900756836,2.6915979385375977,0.7370090484619141,1.8194491863250732,3.004636764526367,2.688971057335536,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__ball_joint_vel_abs_mean.csv
Observation,Observation/base_ang_vel_yaw,600,0,599,-0.04539019986987114,0.23609291017055511,0.28148311004042625,-0.04539019986987114,0.5871403217315674,0.21855701418229728,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__base_ang_vel_yaw.csv
Observation,Observation/base_lin_vel_x,600,0,599,-0.04388070106506348,-0.011791637167334557,0.03208906389772892,-0.19957441091537476,0.2297435849905014,0.0053416578101556905,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__base_lin_vel_x.csv
Observation,Observation/head_roll_pitch_abs_mean,600,0,599,0.058321475982666016,0.17230170965194702,0.113980233669281,0.04689573496580124,0.5978783369064331,0.20839185682435832,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__head_roll_pitch_abs_mean.csv
Observation,Observation/projected_gravity_xy_norm,600,0,599,0.06580878049135208,0.07436421513557434,0.00855543464422226,0.04882925748825073,0.17965726554393768,0.112558808978647,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__projected_gravity_xy_norm.csv
Observation,Observation/root_height,600,0,599,0.17682504653930664,0.14919573068618774,-0.027629315853118896,0.14774909615516663,0.17682504653930664,0.15137497554222742,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__root_height.csv
Observation,Observation/tail_roll_pitch_abs_mean,600,0,599,0.02804863080382347,0.22723308205604553,0.19918445125222206,0.018123019486665726,0.24994194507598877,0.19160076620057226,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__tail_roll_pitch_abs_mean.csv
Observation,Observation/tilt_deg,600,0,599,3.7774341106414795,4.270717620849609,0.4932835102081299,2.800549268722534,10.373517990112305,6.477531133492787,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__tilt_deg.csv
Observation,Observation/wheel_joint_vel_abs_mean,600,0,599,3.2203407287597656,3.715768814086914,0.49542808532714844,2.231382369995117,3.884023666381836,3.461057476202647,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Observation__wheel_joint_vel_abs_mean.csv
Reward,Reward/action_rate,600,0,599,-0.04268358275294304,-0.020291997119784355,0.022391585633158684,-0.044352978467941284,-0.015453988686203957,-0.022787567408134538,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Reward__action_rate.csv
Reward,Reward/orientation,600,0,599,-0.01838338002562523,-0.02399272844195366,-0.00560934841632843,-0.11002922058105469,-0.010216258466243744,-0.05030973216208319,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Reward__orientation.csv
Reward,Reward/termination,600,0,599,0.0,0.0,0.0,-0.0052083334885537624,0.0,-0.000374348968519674,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Reward__termination.csv
Reward,Reward/total,600,0,599,1.9455578327178955,2.9727513790130615,1.027193546295166,1.8722560405731201,3.2299649715423584,2.7749393538633984,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Reward__total.csv
Reward,Reward/tracking_ang_vel,600,0,599,0.4176766276359558,1.201416254043579,0.7837396264076233,0.3888164460659027,1.3219795227050781,0.9504911175866921,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Reward__tracking_ang_vel.csv
Reward,Reward/tracking_lin_vel,600,0,599,1.588948130607605,1.8160680532455444,0.22711992263793945,1.5068758726119995,2.1427321434020996,1.898445303241412,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Reward__tracking_lin_vel.csv
Termination,Termination/bad_orientation_rate,600,0,599,0.0,0.0,0.0,0.0,0.0,0.0,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Termination__bad_orientation_rate.csv
Termination,Termination/ball_joint_limit_rate,600,0,599,0.0,0.0,0.0,0.0,0.0026041667442768812,0.000187174484259837,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Termination__ball_joint_limit_rate.csv
Termination,Termination/root_too_low_rate,600,0,599,0.0,0.0,0.0,0.0,0.0,0.0,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Termination__root_too_low_rate.csv
Termination,Termination/terminated_rate,600,0,599,0.0,0.0,0.0,0.0,0.0026041667442768812,0.000187174484259837,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/Termination__terminated_rate.csv
