step,stairs05,stairs06,stairs07,obs08,obs09,stairs_avg,obs_avg,hard_avg
186,17.894737,18.0,18.0,3.483334,2.320833,17.964912,2.902084,11.939781
187,17.894737,18.0,18.0,3.329167,2.183333,17.964912,2.75625,11.881447
188,17.894737,18.0,18.0,3.0,2.9,17.964912,2.95,11.958947
189,17.894737,18.0,18.0,3.466667,2.370833,17.964912,2.91875,11.946447
190,17.894737,18.0,18.0,3.325,2.625,17.964912,2.975,11.968948
191,17.894737,18.0,18.0,3.608334,3.058333,17.964912,3.333333,12.112281
192,17.894737,18.0,18.0,3.275,1.9375,17.964912,2.60625,11.821447
193,17.894737,18.0,18.0,3.758333,2.604167,17.964912,3.18125,12.051447
194,17.894737,18.0,18.0,3.15,2.120833,17.964912,2.635417,11.833114
195,17.894737,18.0,18.0,3.975,2.541667,17.964912,3.258333,12.082281
196,17.894737,18.0,18.0,2.854167,3.045833,17.964912,2.95,11.958947
197,17.894737,18.0,18.0,3.295833,2.3,17.964912,2.797917,11.898114
198,17.894737,18.0,18.0,3.2625,2.725,17.964912,2.99375,11.976447
199,17.894737,18.0,18.0,3.033333,2.3,17.964912,2.666667,11.845614
