step,completed_column_rate,unfinished_column_count,col00_flat__current_level_mean,col00_flat__rows_advanced_mean,col00_flat__row_advance_rate,col01_slope_down__current_level_mean,col01_slope_down__rows_advanced_mean,col01_slope_down__row_advance_rate,col02_slope_up__current_level_mean,col02_slope_up__rows_advanced_mean,col02_slope_up__row_advance_rate,col03_rough__current_level_mean,col03_rough__rows_advanced_mean,col03_rough__row_advance_rate,col04_rough__current_level_mean,col04_rough__rows_advanced_mean,col04_rough__row_advance_rate,col05_stairs_down__current_level_mean,col05_stairs_down__rows_advanced_mean,col05_stairs_down__row_advance_rate,col06_stairs_down__current_level_mean,col06_stairs_down__rows_advanced_mean,col06_stairs_down__row_advance_rate,col07_stairs_down__current_level_mean,col07_stairs_down__rows_advanced_mean,col07_stairs_down__row_advance_rate,col08_obstacles__current_level_mean,col08_obstacles__rows_advanced_mean,col08_obstacles__row_advance_rate,col09_obstacles__current_level_mean,col09_obstacles__rows_advanced_mean,col09_obstacles__row_advance_rate
26,0.500000,5.000000,7.625000,3.125000,1.000000,6.406250,4.000000,0.750000,4.375000,2.781250,0.906250,4.437500,2.187500,0.906250,6.031250,2.031250,0.937500,17.741667,0.008333,0.008333,17.616669,0.108333,0.108333,17.566666,0.058333,0.058333,14.132812,0.148438,0.078125,13.275002,0.391667,0.316667
27,0.500000,5.000000,12.218750,7.718750,1.000000,7.156250,4.156250,1.000000,7.656250,6.156250,1.000000,7.875000,5.625000,1.000000,9.375000,5.375000,1.000000,17.800001,0.000000,0.000000,17.650002,0.000000,0.000000,17.633335,0.033333,0.033333,14.281250,0.140625,0.125000,13.583334,0.241667,0.241667
28,0.500000,5.000000,2.968750,1.718750,0.750000,8.937500,5.937500,0.812500,5.375000,3.375000,0.781250,4.156250,1.750000,0.718750,4.812500,1.718750,0.750000,17.800001,0.000000,0.000000,17.666668,0.033333,0.033333,17.733334,0.016667,0.016667,14.523438,0.242188,0.171875,13.875001,0.208333,0.166667
29,0.500000,5.000000,7.437500,6.187500,1.000000,7.125000,2.937500,0.937500,7.312500,4.812500,1.000000,6.812500,4.312500,1.000000,7.468750,4.468750,1.000000,17.800001,0.000000,0.000000,17.666668,0.000000,0.000000,17.733334,0.000000,0.000000,14.679688,0.148438,0.093750,14.133334,0.250000,0.191667
30,0.500000,5.000000,5.250000,4.156250,0.781250,10.968750,6.687500,0.968750,8.593750,5.531250,0.812500,4.906250,3.000000,0.687500,5.437500,3.125000,0.687500,17.808334,0.000000,0.000000,17.675001,0.008333,0.008333,17.733334,0.000000,0.000000,14.851562,0.187500,0.156250,14.358334,0.216667,0.216667
31,0.500000,5.000000,5.593750,4.593750,1.000000,6.468750,2.781250,0.812500,6.937500,3.187500,0.937500,4.718750,3.218750,1.000000,5.437500,3.187500,1.000000,17.866667,0.000000,0.000000,17.725000,0.033333,0.033333,17.733334,0.000000,0.000000,14.937500,0.101562,0.054688,14.300001,0.166667,0.150000
32,0.500000,5.000000,7.843750,5.968750,0.781250,9.031250,5.531250,1.000000,10.125000,6.562500,0.906250,6.625000,4.468750,0.750000,6.781250,4.375000,0.718750,17.866667,0.000000,0.000000,17.825001,0.041667,0.041667,17.841667,0.025000,0.025000,14.984375,0.046875,0.046875,14.325001,0.116667,0.091667
33,0.500000,5.000000,6.812500,3.062500,1.000000,7.968750,4.375000,0.781250,5.625000,3.062500,0.937500,5.531250,2.281250,0.937500,5.000000,2.000000,0.937500,17.925001,0.008333,0.008333,17.891668,0.050000,0.050000,17.866667,0.000000,0.000000,15.109375,0.109375,0.078125,14.558334,0.191667,0.175000
34,0.500000,5.000000,11.281250,7.531250,1.000000,7.187500,3.937500,1.000000,8.500000,6.000000,1.000000,8.656250,5.406250,1.000000,8.312500,5.312500,1.000000,17.933334,0.000000,0.000000,17.933334,0.000000,0.000000,17.866667,0.000000,0.000000,15.250000,0.078125,0.078125,14.766668,0.216667,0.200000
35,0.500000,5.000000,4.937500,1.968750,0.781250,8.687500,5.750000,0.812500,6.375000,3.437500,0.750000,3.375000,1.625000,0.687500,2.906250,1.625000,0.687500,17.950001,0.016667,0.016667,17.933334,0.000000,0.000000,17.866667,0.000000,0.000000,15.375000,0.132812,0.078125,14.916668,0.158333,0.158333
36,0.500000,5.000000,9.281250,6.281250,1.000000,5.656250,2.906250,0.937500,7.687500,4.687500,1.000000,6.093750,4.343750,1.000000,5.312500,4.312500,1.000000,18.000000,0.008333,0.008333,17.891668,0.000000,0.000000,17.866667,0.000000,0.000000,15.375000,0.000000,0.000000,15.041668,0.175000,0.175000
37,0.500000,5.000000,6.250000,4.031250,0.750000,9.156250,6.312500,0.968750,7.843750,5.812500,0.812500,6.062500,3.468750,0.750000,5.062500,3.437500,0.750000,18.000000,0.000000,0.000000,17.866667,0.000000,0.000000,17.866667,0.000000,0.000000,15.429688,0.054688,0.054688,15.266667,0.283333,0.258333
38,0.500000,5.000000,6.406250,4.656250,1.000000,6.625000,2.875000,0.781250,3.656250,3.156250,0.937500,6.250000,3.000000,0.968750,5.093750,3.093750,1.000000,18.000000,0.000000,0.000000,17.866667,0.000000,0.000000,17.866667,0.000000,0.000000,15.437500,0.046875,0.046875,15.533334,0.216667,0.141667
39,0.500000,5.000000,8.250000,6.562500,0.781250,9.437500,5.437500,1.000000,7.000000,6.406250,0.906250,7.375000,4.406250,0.750000,5.875000,4.531250,0.750000,18.000000,0.000000,0.000000,17.866667,0.000000,0.000000,17.933334,0.041667,0.041667,15.437500,0.000000,0.000000,15.616667,0.083333,0.083333
40,0.500000,5.000000,4.468750,2.968750,1.000000,6.625000,4.218750,0.750000,4.062500,2.812500,0.843750,5.187500,2.250000,0.937500,3.125000,1.875000,0.906250,18.000000,0.000000,0.000000,17.866667,0.000000,0.000000,17.950001,0.016667,0.016667,15.437500,0.000000,0.000000,15.733335,0.183333,0.183333
41,0.500000,5.000000,9.000000,7.500000,1.000000,5.062500,4.062500,1.000000,7.156250,5.906250,1.000000,8.343750,5.343750,1.000000,6.500000,5.250000,1.000000,18.000000,0.000000,0.000000,17.958334,0.025000,0.025000,18.000000,0.000000,0.000000,15.500000,0.062500,0.062500,15.850000,0.125000,0.125000
42,0.600000,4.000000,4.770833,2.416667,0.750000,7.958334,7.041667,0.875000,6.895833,5.052083,0.770833,4.354167,2.354167,0.687500,2.895833,1.791667,0.541667,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.520124,0.067337,0.060759,15.959430,0.184942,0.145468
43,0.600000,4.000000,8.041667,5.708333,1.000000,3.354167,2.708333,0.927083,5.562500,3.000000,0.937500,4.500000,3.500000,1.000000,3.656250,2.781250,0.906250,14.458334,0.000000,0.000000,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.526316,0.000000,0.000000,16.197369,0.263158,0.250000
44,0.600000,4.000000,7.479167,4.750000,0.687500,7.250000,6.479167,0.968750,8.729167,6.333333,0.916667,5.666667,4.083333,0.822917,6.093750,4.468750,0.875000,2.375000,1.375000,0.833333,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.572369,0.046053,0.046053,16.250000,0.092105,0.092105
45,0.600000,4.000000,7.062500,3.812500,1.000000,5.854167,2.958333,0.843750,5.291667,2.906250,0.854167,5.541667,2.541667,0.916667,5.833333,2.666667,0.833333,4.218750,3.218750,0.906250,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.631578,0.052632,0.052632,16.460526,0.164474,0.164474
46,0.600000,4.000000,10.854167,7.500000,0.916667,8.031250,5.093750,0.937500,6.968750,4.968750,0.937500,7.708333,5.000000,0.875000,7.750000,4.083333,1.000000,2.916667,1.916667,0.750000,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.756578,0.118421,0.098684,16.486843,0.052632,0.052632
47,0.600000,4.000000,6.541667,2.541667,0.875000,7.114583,4.114583,0.854167,6.875000,4.614583,0.854167,3.812500,1.895833,0.812500,5.875000,2.708333,0.750000,4.166667,3.166667,0.958333,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.842105,0.052632,0.026316,16.605263,0.131579,0.131579
48,0.600000,4.000000,10.708334,6.708334,1.000000,7.802083,4.281250,0.968750,7.541667,4.375000,0.916667,6.437500,4.437500,1.000000,6.895833,3.864583,1.000000,3.208333,2.208333,0.708333,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.855263,0.013158,0.013158,16.677631,0.125000,0.098684
49,0.600000,4.000000,5.572917,3.333333,0.750000,10.291667,6.354167,0.958333,8.281250,4.614583,0.885417,6.208333,3.270833,0.750000,7.114584,3.864583,0.812500,3.364583,2.364583,0.937500,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,15.947369,0.059211,0.059211,16.796053,0.111842,0.105263
50,0.687500,3.125000,6.875000,5.125000,1.000000,6.604167,3.604167,0.916667,7.041667,4.041667,0.937500,6.333333,3.333333,1.000000,6.166667,2.833333,0.958333,4.343750,3.343750,0.968750,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,16.112961,0.038221,0.019110,16.966751,0.081535,0.081535
51,0.762500,2.375000,10.812500,8.937500,1.000000,9.687500,6.812500,1.000000,9.500000,6.895833,1.000000,9.395834,6.270833,1.000000,8.875000,5.958333,1.000000,3.562500,2.562500,0.812500,18.000000,0.000000,0.000000,18.000000,0.000000,0.000000,16.129440,0.000000,0.000000,17.225519,0.074919,0.074919
52,0.800000,2.000000,3.833333,1.333333,0.666667,5.645833,2.750000,0.708333,7.229167,4.791667,0.666667,4.437500,1.187500,0.687500,3.083333,1.541667,0.583333,2.937500,1.937500,0.812500,18.000000,0.000000,0.000000,4.812500,0.625000,0.500000,16.144735,0.029605,0.029605,17.342106,0.039474,0.039474
53,0.800000,2.000000,8.750000,5.416667,1.000000,7.875000,4.541667,1.000000,6.291667,3.291667,1.000000,7.375000,4.375000,1.000000,4.416667,3.083333,0.958333,3.687500,2.687500,0.875000,8.750000,0.312500,0.250000,4.000000,3.000000,1.000000,16.194078,0.069079,0.065789,17.355263,0.019737,0.019737
54,0.800000,2.000000,10.000000,5.416667,0.833333,9.354167,6.437500,0.916667,9.791667,6.979167,0.937500,4.187500,2.270833,0.541667,5.729167,4.208333,0.833333,3.187500,2.187500,0.812500,3.291667,2.291667,0.958333,3.375000,2.375000,0.625000,16.105263,0.016447,0.016447,17.358553,0.016447,0.016447
55,0.800000,2.000000,8.541667,3.541667,0.916667,3.645833,2.291667,0.812500,5.437500,2.187500,0.812500,4.666667,3.000000,1.000000,4.812500,2.083333,0.833333,4.375000,3.375000,1.000000,4.083333,3.083333,0.916667,3.125000,2.125000,1.000000,16.167763,0.062500,0.055921,17.434212,0.078947,0.078947
56,0.800000,2.000000,10.666667,6.416667,0.875000,7.833333,6.479167,1.000000,8.958334,5.437500,0.958333,7.083334,5.125000,0.854167,7.645833,4.520833,1.000000,2.770833,1.770833,0.604167,3.312500,2.312500,0.812500,4.333333,3.333333,0.791667,16.276318,0.128289,0.111842,17.467106,0.062500,0.062500
57,0.800000,2.000000,4.250000,2.916667,0.875000,5.312500,4.062500,0.750000,6.645833,3.604167,0.833333,5.895833,1.645833,0.854167,5.770833,3.229167,0.791667,3.125000,2.125000,0.916667,3.437500,2.437500,0.854167,2.500000,1.500000,0.875000,16.332237,0.029605,0.029605,17.500000,0.029605,0.029605
