sample_index,time_s,q_raw,q_ref,q_cmd,qdot_cmd,q_model,qdot_model,q_cmd_minus_model,q_raw_minus_model,qdot_cmd_minus_model,tau_model
641,21.366666666666667,-0.4406071305274963,-0.38010203713642976,-0.26436064788038055,-0.1333333333333332,-0.26464334024328107,-0.09723850054379374,0.00028269236290051625,-0.17596379028421522,-0.036094832789539455,-1.1892515942230504
642,21.4,-0.2262694090604782,-0.34279226043767164,-0.28658287010260275,-0.6666666666666665,-0.2833824096033267,0.5330816462155694,-0.0032004604992760255,0.05711300054284851,-1.199748312882236,2.82901580586363
643,21.433333333333334,-0.7587295770645142,-0.4436715641206732,-0.32658287010260273,-1.1999999999999997,-0.3263149896319128,-0.8687694301972213,-0.0002678804706899296,-0.43241458743260136,-0.33123056980277843,-13.178206864300707
644,21.466666666666665,-0.7061567902565002,-0.5073333847392193,-0.3843606478803805,-1.733333333333333,-0.3780665781750287,-0.27061059182042047,-0.00629406970535179,-0.32809021208147154,-1.4627227415129125,-11.880662307206464
645,21.5,-0.0902076214551925,-0.4061658412988105,-0.42436064788038047,-1.1999999999999997,-0.42272976520547045,-0.7513891292017965,-0.001630882674910017,0.33252214375027794,-0.4486108707982033,-12.923581903679887
646,21.53333333333333,-0.3087059259414673,-0.38252841324117476,-0.44658287010260267,-0.6666666666666664,-0.44357128984354427,0.4092445964089202,-0.0030115802590583995,0.13486536390207698,-1.0759112630755867,1.4250116516708797
647,21.566666666666666,0.0550595037639141,-0.27639808397530663,-0.4510273145470471,-0.13333333333333308,-0.44868061789188374,0.5226023313210872,-0.0023466966551633495,0.5037401216557978,-0.6559356646544203,4.307532255996715
648,21.6,0.1672676801681518,-0.16879366483411118,-0.4376939812137137,0.40000000000000024,-0.4390771974543291,-0.2307734276643616,0.0013832162406153814,0.6063448776224809,0.6307734276643618,-1.0521862392595736
649,21.633333333333333,0.1565288007259369,-0.08989162241992261,-0.40658287010260263,0.9333333333333336,-0.40823636289370796,0.17972633384174586,0.0016534927911053265,0.5647651636196449,0.7536069994915877,5.252453889229888
650,21.666666666666668,0.1083639040589332,-0.0418077437607815,-0.35769398121371376,1.4666666666666668,-0.3609394108054351,0.5727511513662965,0.0032454295917213605,0.4693033148643683,0.8939155153003703,12.536074905605957
651,21.7,-0.0145128145813941,-0.03518777161684489,-0.2910273145470471,2.0,-0.29857676613474515,1.4835173604827996,0.007549451587698042,0.28406395155335107,0.5164826395172004,28.872539574662635
652,21.733333333333334,0.0957043841481208,-0.0034418594245446688,-0.22436064788038046,2.0,-0.23244550317047655,1.9357515557122336,0.008084855290096088,0.32814988731859734,0.06424844428776644,35.113371468828824
653,21.766666666666666,-0.2744005620479584,-0.06915879357503886,-0.1576939812137138,2.0,-0.16584543865519516,1.9920077418337672,0.008151457441481352,-0.10855512339276321,0.007992258166232835,35.88970683730599
654,21.8,0.1067451834678649,-0.026495945088475234,-0.09102731454704714,2.0,-0.09918705703876121,1.9990057939720756,0.00815974249171407,0.20593224050662612,0.000994206027924438,35.98627995681464
655,21.833333333333332,0.0421427749097347,-0.009848661946712817,-0.024360647880380476,2.0,-0.03252142100032397,1.9998763246124696,0.008160773119943496,0.07466419591005867,0.00012367538753044194,35.99829327965208
656,21.866666666666667,-0.2104151993989944,-0.058493041355566947,0.024528241008508415,1.4666666666666668,0.01841579207437455,0.32584649315655434,0.006112448934133867,-0.22883099147336894,1.1408201735101124,12.000481723950971
657,21.9,-0.6165246367454529,-0.1938351626938889,0.055639352119619526,0.9333333333333335,0.0544526602584735,0.48577872951084944,0.0011866918611460262,-0.6709772970039264,0.447554603822484,8.722326884355105
658,21.933333333333334,-0.4845790565013885,-0.26435069564785685,0.06897268545295286,0.40000000000000013,0.06664845064505362,-0.39655869932010357,0.002324234807899242,-0.5512275071464421,0.7965586993201037,-2.306274498049624
659,21.966666666666665,-0.1247241497039794,-0.23048638925498346,0.06452824100850842,-0.1333333333333332,0.06424668844627207,-0.09694621556193261,0.00028155256223634517,-0.18897083815025145,-0.03638711777140058,-1.1865686227814056
660,22.0,0.0367221198976039,-0.16567900779642267,0.042306018786286204,-0.6666666666666665,0.04550636678105156,0.5330078839910279,-0.0032003479947653596,-0.008784246883447665,-1.1996745506576945,2.828179525688671
661,22.03333333333333,-0.7270411849021912,-0.3018289113435696,0.0023060187862862097,-1.1999999999999997,0.002573849689016576,-0.8687736989372107,-0.0002678309027303663,-0.7296150345912077,-0.33122630106278905,-13.178216124182857
662,22.066666666666666,-0.3422908186912536,-0.311642334846954,-0.05547175899149155,-1.733333333333333,-0.0491777111251096,-0.2706124725692871,-0.006294047866381949,-0.293113107566144,-1.4627208607640458,-11.880666386984746
