Kp,Kd,J_axis,B_axis,tau_load,tau_v,old_gap_mean,old_error_mean,old_relative_error_mean,new_error_mean,rms_target_error_new,new_relative_error_mean,rms_relative_error_new,error_reduction_ratio,relative_error_reduction_ratio,max_abs_qdot_new,qdot_limit_rate,sat_ratio,max_abs_tau_new,oscillation_score,smoothness_cost,qdot_alloc_rmse,qdot_alloc_smoothness,old_qdot_rms,new_qdot_rms,new_vs_old_qdot_ratio,risk_score,max_abs_qdot_new_case_max,max_abs_tau_new_case_max,risk_score_case_max,compatibility_pass
160.0,16.0,0.08,2.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.08461421320057695,0.1164355247660595,0.6932909984144537,0.9873845527503308,0.27619317419284406,0.2240952335962913,2.0,0.07546698581672201,0.0016444802901818417,59.4947897811239,6.116485960522659,0.4005342770438025,0.411222874832858,0.09575680722317913,0.8879891707459998,0.9025465582818487,1.0088723298692497,0.8345627134284407,2.0,60.0,0.9196690399414471,True
160.0,16.0,0.08,2.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.08461421320057695,0.1164355247660595,0.6932909984144537,0.9873845527503308,0.27619317419284406,0.2240952335962913,2.0,0.07546698581672201,0.0016444802901818417,59.4947897811239,6.116485960522659,0.4005342770438025,0.49350958085262175,0.06670456326256978,0.8879891707459998,0.9025465582818487,1.0088723298692497,0.8345627134284407,2.0,60.0,0.9196690399414471,True
160.0,16.0,0.08,2.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.08461421320057695,0.1164355247660595,0.6932909984144537,0.9873845527503308,0.27619317419284406,0.2240952335962913,2.0,0.07546698581672201,0.0016444802901818417,59.4947897811239,6.116485960522659,0.4005342770438025,0.553937008591545,0.049151425455724054,0.8879891707459998,0.9025465582818487,1.0088723298692497,0.8345627134284407,2.0,60.0,0.9196690399414471,True
160.0,24.0,0.1,0.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.09031042725847599,0.12144573500648324,0.7328152475433352,1.022787682845478,0.2287794470244297,0.18211447888636276,2.0,0.11193743287948846,0.0006207566106403618,58.38027728488562,4.679733110925771,0.2774633892378894,0.3567493223688217,0.07117924176732453,0.8879891707459998,1.1932710169509613,1.3554989411417298,0.8351052565001708,2.0,60.0,0.9048966817475281,True
160.0,24.0,0.1,0.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.09031042725847599,0.12144573500648324,0.7328152475433352,1.022787682845478,0.2287794470244297,0.18211447888636276,2.0,0.11193743287948846,0.0006207566106403618,58.38027728488562,4.679733110925771,0.2774633892378894,0.43455490548487585,0.051084586690189046,0.8879891707459998,1.1932710169509613,1.3554989411417298,0.8351052565001708,2.0,60.0,0.9048966817475281,True
160.0,24.0,0.1,0.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.09031042725847599,0.12144573500648324,0.7328152475433352,1.022787682845478,0.2287794470244297,0.18211447888636276,2.0,0.11193743287948846,0.0006207566106403618,58.38027728488562,4.679733110925771,0.2774633892378894,0.4945621555727302,0.03871566086514529,0.8879891707459998,1.1932710169509613,1.3554989411417298,0.8351052565001708,2.0,60.0,0.9048966817475281,True
160.0,32.0,0.15,1.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.0941342381812439,0.1257726193351206,0.7540976820188194,1.0416539953503603,0.19752776950723197,0.15932811698306767,2.0,0.00875425645570076,0.00025013903695689856,56.65658949581564,7.214623297192107,0.07143393695632291,0.18228284942330222,0.018620754809929346,0.8879891707459998,0.4371745629833994,0.49084592163678153,0.8405307023820051,2.0,60.0,0.9056347080997592,True
160.0,32.0,0.15,1.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.0941342381812439,0.1257726193351206,0.7540976820188194,1.0416539953503603,0.19752776950723197,0.15932811698306767,2.0,0.00875425645570076,0.00025013903695689856,56.65658949581564,7.214623297192107,0.07143393695632291,0.2216342923265482,0.013332941950821959,0.8879891707459998,0.4371745629833994,0.49084592163678153,0.8405307023820051,2.0,60.0,0.9056347080997592,True
160.0,32.0,0.15,1.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.0941342381812439,0.1257726193351206,0.7540976820188194,1.0416539953503603,0.19752776950723197,0.15932811698306767,2.0,0.00875425645570076,0.00025013903695689856,56.65658949581564,7.214623297192107,0.07143393695632291,0.2514837113710711,0.010059545397744373,0.8879891707459998,0.4371745629833994,0.49084592163678153,0.8405307023820051,2.0,60.0,0.9056347080997592,True
220.0,32.0,0.15,0.5,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.08855147973326644,0.120048847741499,0.7193800147755861,1.0103457180730622,0.2436638118674074,0.1963401184059274,2.0,0.0333827767162262,0.001857559135539638,59.636579384219544,7.991937725882679,0.20810302748076084,0.29966194960290654,0.050469673230584294,0.8879891707459998,0.6518394715348119,0.7293592057779696,0.8409199975305648,2.0,60.0,0.9082071358302386,True
