step,front_roll_des_deg,front_pitch_des_deg,front_yaw_des_deg,rear_roll_des_deg,rear_pitch_des_deg,rear_yaw_des_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
390,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.026361,-0.013701,0.012111,0.004731,0.001993,0.003436,-0.0,0.0,0.0,-0.0,0.0,0.0,
420,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.026293,-0.013667,0.012099,0.004735,0.001992,0.003426,-0.0,0.0,0.0,-0.0,0.0,0.0,
450,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.026258,-0.013629,0.01209,0.004739,0.001996,0.003422,-0.0,0.0,0.0,-0.0,0.0,0.0,
480,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.015961,-0.015539,-0.0106,-0.019496,-0.003128,-0.001427,-0.0,0.0,0.0,-0.0,0.0,0.0,
510,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.009961,-0.020049,-0.011938,-0.024756,-0.005207,-0.003956,-0.0,0.0,0.0,-0.0,0.0,0.0,
540,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.005861,-0.070212,-0.072389,-0.082999,0.028838,-0.00132,-0.0,0.0,0.0,-0.0,0.0,0.0,
570,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.035232,5.1e-05,-0.007406,-0.010411,0.003154,-0.001402,-0.0,0.0,0.0,-0.0,0.0,0.0,
600,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.030764,0.015325,-0.005836,-0.00221,-0.003222,-0.004574,-0.0,0.0,0.0,-0.0,0.0,0.0,
630,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.079762,-0.065185,-0.017023,-0.020203,0.008678,0.013703,-0.0,0.0,0.0,-0.0,0.0,0.0,
660,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.040307,0.007435,-0.008955,-0.004594,-0.000625,-0.000601,-0.0,0.0,0.0,-0.0,0.0,0.0,
690,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.016627,-0.007343,0.020043,0.027451,-0.012514,-0.006207,-0.0,0.0,0.0,-0.0,0.0,0.0,
720,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.025039,-0.010801,-0.011465,-0.015014,-0.000727,-0.006125,-0.0,0.0,0.0,-0.0,0.0,0.0,
750,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.018971,-0.016826,-0.011351,-0.017407,0.003606,0.004798,-0.0,0.0,0.0,-0.0,0.0,0.0,
780,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.111319,-0.056525,0.004351,-0.018676,0.01235,0.015019,-0.0,0.0,0.0,-0.0,0.0,0.0,
810,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.028804,-0.00696,-0.008544,-0.014458,-0.002468,-0.003972,-0.0,0.0,0.0,-0.0,0.0,0.0,
840,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.021018,-0.013845,-0.008776,-0.01846,-0.003098,-0.004695,-0.0,0.0,0.0,-0.0,0.0,0.0,
870,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.017262,-0.017107,-0.008552,-0.020319,-0.003575,-0.005251,-0.0,0.0,0.0,-0.0,0.0,0.0,
900,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.015741,-0.018391,-0.008698,-0.021113,-0.003722,-0.005411,-0.0,0.0,0.0,-0.0,0.0,0.0,
930,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.015364,-0.018758,-0.008679,-0.021342,-0.003821,-0.005472,-0.0,0.0,0.0,-0.0,0.0,0.0,
960,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.015306,-0.018743,-0.008699,-0.021409,-0.003879,-0.005445,-0.0,0.0,0.0,-0.0,0.0,0.0,
990,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.015298,-0.018565,-0.008699,-0.021407,-0.003901,-0.005403,-0.0,0.0,0.0,-0.0,0.0,0.0,
1020,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.015203,-0.018422,-0.008717,-0.021368,-0.003899,-0.005379,-0.0,0.0,0.0,-0.0,0.0,0.0,
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.014025,-0.018795,-0.008722,-0.020724,-0.003086,-0.005575,-0.0,0.0,0.0,-0.0,0.0,0.0,
1080,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013835,-0.019149,-0.008757,-0.020795,-0.003179,-0.005719,-0.0,0.0,0.0,-0.0,0.0,0.0,
1110,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013788,-0.019177,-0.008769,-0.020812,-0.003223,-0.005712,-0.0,0.0,0.0,-0.0,0.0,0.0,
1140,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013756,-0.019254,-0.008763,-0.02079,-0.003231,-0.005734,-0.0,0.0,0.0,-0.0,0.0,0.0,
1170,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013604,-0.01949,-0.008814,-0.020869,-0.003301,-0.005724,-0.0,0.0,0.0,-0.0,0.0,0.0,
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013553,-0.019564,-0.008813,-0.020829,-0.003303,-0.005726,-0.0,0.0,0.0,-0.0,0.0,0.0,
1230,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013607,-0.019448,-0.008802,-0.020876,-0.00329,-0.005708,-0.0,0.0,0.0,-0.0,0.0,0.0,
1260,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013548,-0.019328,-0.008837,-0.021068,-0.003303,-0.005674,-0.0,0.0,0.0,-0.0,0.0,0.0,
1290,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.01358,-0.019202,-0.008832,-0.02113,-0.003311,-0.005654,-0.0,0.0,0.0,-0.0,0.0,0.0,
1320,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.013635,-0.01911,-0.008826,-0.021159,-0.003296,-0.005636,-0.0,0.0,0.0,-0.0,0.0,0.0,
1350,3.0,0.0,0.0,0.0,0.0,0.0,0.064466,-2.128695,2.16646,0.031,0.014,0.025,-0.043449,-2.020889,1.94297,-0.022682,0.000117,-0.008144,0.0,0.0,0.0,-0.0,0.0,0.0,
1380,20.0,0.0,0.0,0.0,0.0,0.0,-1.672574,-14.442477,14.045554,0.031,0.014,0.025,-1.77023,-14.424605,14.006654,-0.003597,0.004752,-0.000468,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1410,20.0,0.0,0.0,0.0,0.0,0.0,-1.672574,-14.442477,14.045554,0.031,0.014,0.025,-1.769911,-14.424859,14.008427,-0.000494,0.006798,-0.002016,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1440,35.0,0.0,0.0,0.0,0.0,0.0,-5.564233,-26.355056,24.074301,0.031,0.014,0.025,-5.569946,-26.315952,24.082634,0.037682,0.028392,0.028349,0.0,-0.0,0.0,-0.0,0.0,0.0,
1470,35.0,0.0,0.0,0.0,0.0,0.0,-5.564233,-26.355056,24.074301,0.031,0.014,0.025,-5.578271,-26.313275,24.080163,0.035463,0.026006,0.027221,0.0,-0.0,0.0,-0.0,0.0,0.0,
1500,35.0,0.0,0.0,0.0,0.0,0.0,-5.564233,-26.355056,24.074301,0.031,0.014,0.025,-5.584827,-26.308084,24.080894,0.037585,0.026059,0.025555,0.0,-0.0,0.0,-0.0,0.0,0.0,
1530,35.0,0.0,0.0,0.0,0.0,0.0,-5.564233,-26.355056,24.074301,0.031,0.014,0.025,-5.576078,-26.308634,24.08433,0.03911,0.027317,0.028678,0.0,-0.0,0.0,-0.0,0.0,0.0,
1560,35.0,0.0,0.0,0.0,0.0,0.0,-5.564233,-26.355056,24.074301,0.031,0.014,0.025,-5.567142,-26.308932,24.08769,0.041722,0.029033,0.031049,0.0,-0.0,0.0,-0.0,0.0,0.0,
1590,12.0,0.0,0.0,0.0,0.0,0.0,-0.526855,-8.555532,8.499054,0.031,0.014,0.025,-0.631423,-8.730748,8.617344,0.001284,-0.009847,-0.00305,0.0,-0.0,0.0,-0.0,0.0,0.0,
1620,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.54293,-7.831512,7.755057,-0.01507,-0.000714,-0.002803,0.0,0.0,0.0,-0.0,0.0,0.0,
1650,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542935,-7.831582,7.755057,-0.015058,-0.000707,-0.002828,0.0,0.0,0.0,-0.0,0.0,0.0,
1680,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542923,-7.831631,7.755069,-0.01504,-0.000712,-0.002826,0.0,0.0,0.0,-0.0,0.0,0.0,
1710,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542907,-7.831632,7.755083,-0.015034,-0.000695,-0.00283,0.0,0.0,0.0,-0.0,0.0,0.0,
1740,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.54293,-7.831636,7.755069,-0.015049,-0.00071,-0.00284,0.0,0.0,0.0,-0.0,0.0,0.0,
1770,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542926,-7.831637,7.755066,-0.015046,-0.000705,-0.002837,0.0,0.0,0.0,-0.0,0.0,0.0,
1800,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542916,-7.831569,7.755059,-0.015061,-0.000704,-0.002817,0.0,0.0,0.0,-0.0,0.0,0.0,
1830,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542949,-7.831519,7.755053,-0.015068,-0.000698,-0.002801,0.0,0.0,0.0,-0.0,0.0,0.0,
1860,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542948,-7.831521,7.755054,-0.015073,-0.000703,-0.002808,0.0,0.0,0.0,-0.0,0.0,0.0,
1890,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542929,-7.831585,7.755066,-0.01506,-0.000697,-0.002825,0.0,0.0,0.0,-0.0,0.0,0.0,
1920,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542914,-7.831637,7.755081,-0.015042,-0.000704,-0.00283,0.0,0.0,0.0,-0.0,0.0,0.0,
1950,11.0,0.0,0.0,0.0,0.0,0.0,-0.425409,-7.833882,7.799098,0.031,0.014,0.025,-0.542913,-7.831631,7.755078,-0.015045,-0.000707,-0.002835,0.0,0.0,0.0,-0.0,0.0,0.0,
1980,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.020034,-1.589386,1.567312,-0.018031,-0.013556,-0.00308,-0.0,0.0,0.0,-0.0,0.0,0.0,
2010,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.035124,0.009456,-0.007182,-0.011341,-0.005812,-0.002506,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2040,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.023171,0.001382,-0.010873,-0.02149,-0.010675,-0.006219,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2070,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.022087,-0.000445,-0.0116,-0.022588,-0.010841,-0.006558,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2100,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.022126,-0.001856,-0.011338,-0.023042,-0.010374,-0.006299,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2130,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.022061,-0.00184,-0.011361,-0.023091,-0.010398,-0.006311,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2160,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.02746,0.0059,-0.009618,-0.017646,-0.009074,-0.00494,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2190,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.031603,0.008956,-0.007841,-0.01381,-0.007353,-0.00372,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2220,-0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.034732,0.011451,-0.006638,-0.010979,-0.006001,-0.002794,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
2250,-11.0,0.0,0.0,0.0,0.0,0.0,-0.431002,7.821128,-7.707098,0.031,0.014,0.025,-0.392706,7.775808,-7.704371,0.017442,0.012743,0.024949,0.0,-0.0,-0.0,-0.0,0.0,0.0,
2280,-11.0,0.0,0.0,0.0,0.0,0.0,-0.431002,7.821128,-7.707098,0.031,0.014,0.025,-0.393422,7.775733,-7.705491,0.016242,0.012369,0.025071,0.0,-0.0,-0.0,-0.0,0.0,0.0,
2310,-21.0,0.0,0.0,0.0,0.0,0.0,-1.869856,15.181244,-14.638848,0.031,0.014,0.025,-1.824051,15.143516,-14.631587,0.021345,0.013621,0.024675,0.0,0.0,-0.0,-0.0,0.0,0.0,
2340,-21.0,0.0,0.0,0.0,0.0,0.0,-1.869856,15.181244,-14.638848,0.031,0.014,0.025,-1.820576,15.134781,-14.628337,0.020084,0.015212,0.027061,0.0,0.0,-0.0,-0.0,0.0,0.0,
2370,-16.0,0.0,0.0,0.0,0.0,0.0,-1.032659,11.457063,-11.193368,0.031,0.014,0.025,-0.998624,11.541111,-11.335408,0.02274,0.017756,0.026428,-0.0,-0.0,0.0,-0.0,0.0,0.0,
2400,-2.0,0.0,0.0,0.0,0.0,0.0,0.085041,1.40874,-1.367819,0.031,0.014,0.025,0.151237,1.464366,-1.515814,0.015848,0.015653,0.023137,0.0,0.0,0.0,-0.0,0.0,0.0,
2430,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.02996,-1.430049,1.403508,-0.024891,-0.003473,-0.003776,-0.0,0.0,0.0,-0.0,0.0,0.0,
2460,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.029199,-1.429869,1.403231,-0.024918,-0.003196,-0.003729,-0.0,0.0,0.0,-0.0,0.0,0.0,
2490,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.028132,-1.429635,1.402728,-0.024761,-0.002629,-0.003943,-0.0,0.0,0.0,-0.0,0.0,0.0,
2520,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.029386,-1.431517,1.402383,-0.026394,-0.002794,-0.003938,-0.0,0.0,0.0,-0.0,0.0,0.0,
2550,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.01818,-1.421053,1.41019,-0.015066,-0.001564,-0.001293,-0.0,0.0,0.0,-0.0,0.0,0.0,
2580,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.017887,-1.419028,1.411597,-0.013751,-0.001008,-0.000767,-0.0,0.0,0.0,-0.0,0.0,0.0,
2610,2.0,0.0,0.0,0.0,0.0,0.0,0.086046,-1.420764,1.459819,0.031,0.014,0.025,-0.017963,-1.419105,1.411652,-0.013745,-0.000996,-0.000784,-0.0,0.0,0.0,-0.0,0.0,0.0,
2640,2.0,13.0,0.0,0.0,0.0,0.0,11.099877,-6.908067,-4.38492,0.031,0.014,0.025,11.08968,-6.861404,-4.360659,0.042521,0.031001,0.033746,0.0,-0.0,-0.0,-0.0,0.0,0.0,
2670,2.0,22.0,0.0,0.0,0.0,0.0,19.043885,-11.184627,-9.191017,0.031,0.014,0.025,19.073337,-11.135981,-9.129516,0.064662,0.036638,0.053838,-0.0,0.0,0.0,-0.0,0.0,0.0,
2700,2.0,30.0,0.0,0.0,0.0,0.0,26.305912,-15.256286,-14.132477,0.031,0.014,0.025,26.334766,-15.216984,-14.065007,0.061122,0.036718,0.056752,-0.0,-0.0,0.0,-0.0,0.0,0.0,
2730,2.0,30.0,0.0,0.0,0.0,0.0,26.305912,-15.256286,-14.132477,0.031,0.014,0.025,26.335126,-15.216132,-14.064529,0.061307,0.037219,0.056919,-0.0,-0.0,0.0,-0.0,0.0,0.0,
2760,2.0,25.0,0.0,0.0,0.0,0.0,21.746682,-12.684783,-10.962999,0.031,0.014,0.025,22.016352,-12.800338,-11.052659,0.073698,0.005003,0.06612,0.0,0.0,-0.0,-0.0,0.0,0.0,
2790,2.0,-5.0,0.0,0.0,0.0,0.0,-4.009587,0.447308,3.435745,0.031,0.014,0.025,-3.84617,0.363836,3.359805,0.049099,0.02039,0.023123,0.0,0.0,0.0,-0.0,0.0,0.0,
2820,2.0,-9.0,0.0,0.0,0.0,0.0,-7.235452,1.838543,4.927597,0.031,0.014,0.025,-7.221847,1.783925,4.934497,0.013523,0.010798,0.020012,0.0,0.0,0.0,-0.0,0.0,0.0,
2850,2.0,-35.0,0.0,0.0,0.0,0.0,-27.474865,8.469909,13.227622,0.031,0.014,0.025,-27.317188,8.426072,13.18099,0.041918,0.021373,0.023165,0.0,0.0,0.0,-0.0,0.0,0.0,
2880,2.0,-35.0,0.0,0.0,0.0,0.0,-27.474865,8.469909,13.227622,0.031,0.014,0.025,-27.467141,8.428323,13.250032,0.018376,0.012309,0.020346,0.0,0.0,0.0,-0.0,0.0,0.0,
2910,2.0,-9.0,0.0,0.0,0.0,0.0,-7.235452,1.838543,4.927597,0.031,0.014,0.025,-7.322638,1.815879,5.028118,0.013662,0.019684,0.042022,-0.0,0.0,-0.0,-0.0,0.0,0.0,
2940,2.0,5.0,0.0,0.0,0.0,0.0,4.257782,-3.427056,-0.656332,0.031,0.014,0.025,4.142199,-3.430887,-0.706989,-0.018264,0.000937,-0.000414,0.0,0.0,0.0,-0.0,0.0,0.0,
2970,2.0,5.0,0.0,0.0,0.0,0.0,4.257782,-3.427056,-0.656332,0.031,0.014,0.025,4.13977,-3.435331,-0.710181,-0.019589,0.00052,-0.002068,0.0,0.0,0.0,-0.0,0.0,0.0,
3000,2.0,5.0,0.0,0.0,0.0,0.0,4.257782,-3.427056,-0.656332,0.031,0.014,0.025,4.157222,-3.42237,-0.701417,-0.009443,-0.001014,0.000743,0.0,0.0,0.0,-0.0,0.0,0.0,
3030,2.0,5.0,0.0,0.0,0.0,0.0,4.257782,-3.427056,-0.656332,0.031,0.014,0.025,4.158921,-3.421908,-0.701818,-0.009161,-0.001308,0.000957,0.0,0.0,0.0,-0.0,0.0,0.0,
3060,2.0,5.0,2.0,0.0,0.0,0.0,3.186934,-4.56179,-1.880514,0.031,0.014,0.025,3.38222,-4.25194,-1.651149,0.12386,0.073688,0.06059,-0.0,0.0,0.0,-0.0,0.0,0.0,
3090,2.0,5.0,32.0,0.0,0.0,0.0,-10.416605,-19.28367,-17.690922,0.031,0.014,0.025,-10.352027,-19.085738,-17.564805,0.058723,0.053257,0.027292,0.0,0.0,0.0,-0.0,0.0,0.0,
3120,2.0,5.0,35.0,0.0,0.0,0.0,-11.541743,-20.567722,-19.062342,0.031,0.014,0.025,-11.573968,-20.543585,-19.06532,0.052409,0.010156,0.016785,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
3150,2.0,5.0,35.0,0.0,0.0,0.0,-11.541743,-20.567722,-19.062342,0.031,0.014,0.025,-11.530766,-20.498796,-19.044895,0.058679,0.031555,0.040388,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
3180,2.0,5.0,35.0,0.0,0.0,0.0,-11.541743,-20.567722,-19.062342,0.031,0.014,0.025,-11.530728,-20.500097,-19.043932,0.059283,0.031234,0.040184,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
3210,2.0,5.0,35.0,0.0,0.0,0.0,-11.541743,-20.567722,-19.062342,0.031,0.014,0.025,-11.530764,-20.499725,-19.043443,0.060288,0.031318,0.039908,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
3240,2.0,5.0,20.0,0.0,0.0,0.0,-5.504359,-13.851134,-11.875002,0.031,0.014,0.025,-5.528173,-13.935864,-11.942784,0.075479,0.021266,0.056178,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
3270,2.0,5.0,-10.0,0.0,0.0,0.0,9.944221,2.602371,5.853888,0.031,0.014,0.025,9.722845,2.501344,5.681389,-0.003415,0.023542,0.022854,-0.0,0.0,-0.0,-0.0,0.0,0.0,
3300,2.0,5.0,-14.0,0.0,0.0,0.0,12.375803,5.190289,8.648493,0.031,0.014,0.025,12.291362,5.210622,8.596049,-0.005365,0.000894,0.000646,0.0,-0.0,-0.0,-0.0,0.0,0.0,
3330,2.0,5.0,-14.0,0.0,0.0,0.0,12.375803,5.190289,8.648493,0.031,0.014,0.025,12.289943,5.218422,8.594805,-0.008328,-0.002924,0.000892,0.0,-0.0,-0.0,-0.0,0.0,0.0,
3360,2.0,5.0,-32.0,0.0,0.0,0.0,24.39686,18.163939,22.605395,0.031,0.014,0.025,24.336019,18.185249,22.562131,-0.005373,0.006252,0.010882,0.0,0.0,-0.0,-0.0,0.0,0.0,
3390,2.0,5.0,-32.0,0.0,0.0,0.0,24.39686,18.163939,22.605395,0.031,0.014,0.025,24.347353,18.185975,22.591809,0.019539,0.011258,0.014043,0.0,0.0,-0.0,-0.0,0.0,0.0,
3420,2.0,5.0,-32.0,0.0,0.0,0.0,24.39686,18.163939,22.605395,0.031,0.014,0.025,24.344449,18.186839,22.590058,0.01731,0.011691,0.013283,0.0,0.0,-0.0,-0.0,0.0,0.0,
3450,2.0,5.0,-32.0,0.0,0.0,0.0,24.39686,18.163939,22.605395,0.031,0.014,0.025,24.3431,18.186079,22.590615,0.016812,0.012597,0.013286,0.0,0.0,-0.0,-0.0,0.0,0.0,
3480,2.0,5.0,-32.0,0.0,0.0,0.0,24.39686,18.163939,22.605395,0.031,0.014,0.025,24.342965,18.186103,22.590458,0.016624,0.012729,0.013214,0.0,0.0,-0.0,-0.0,0.0,0.0,
3510,2.0,5.0,-32.0,0.0,0.0,0.0,24.39686,18.163939,22.605395,0.031,0.014,0.025,24.344459,18.186818,22.59,0.017301,0.011652,0.013259,0.0,0.0,-0.0,-0.0,0.0,0.0,
