step,front_roll_cur_deg,front_pitch_cur_deg,front_yaw_cur_deg,rear_roll_cur_deg,rear_pitch_cur_deg,rear_yaw_cur_deg,front_joint_cmd_0_deg,front_joint_cmd_1_deg,front_joint_cmd_2_deg,rear_joint_cmd_0_deg,rear_joint_cmd_1_deg,rear_joint_cmd_2_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
1050,-8.284498,10.874663,5.393659,0.007817,-0.008148,0.005836,-15.0,0.0,0.0,0.0,0.0,0.0,5.23721,-2.284136,-14.078722,0.020979,0.008426,0.030486,-14.970573,-0.045739,0.009016,-0.012664,-0.001026,0.000327,-0.0,-0.0,0.0,-0.0,0.0,-0.0,
1080,-8.296133,10.867158,5.384602,0.007686,-0.008915,0.006463,-15.0,0.0,0.0,0.0,0.0,0.0,5.234172,-2.268396,-14.077548,0.019991,0.008469,0.030344,-14.968015,-0.04925,0.009987,-0.013385,-0.000661,0.000906,-0.0,-0.0,-0.0,0.0,-0.0,0.0,
1110,-8.295249,10.856898,5.389857,0.003336,-0.009127,0.006088,-15.0,0.0,0.0,0.0,0.0,0.0,5.222918,-2.265689,-14.074834,0.020034,0.011848,0.027572,-14.961937,-0.056355,0.016539,-0.010826,0.002134,0.003107,0.0,-0.0,-0.0,-0.0,0.0,0.0,
1140,3.58445,-4.06472,-2.478827,0.04276,-0.019792,-0.000104,6.0,0.0,0.0,0.0,0.0,0.0,-1.889157,0.472441,5.55636,0.014899,-0.008115,0.063374,5.905268,0.000633,-0.047761,-0.038227,-0.009766,-0.02576,0.0,-0.0,0.0,0.0,0.0,0.0,
1170,3.57382,-4.078786,-2.462863,0.055367,-0.024019,0.004719,6.0,0.0,0.0,0.0,0.0,0.0,-1.909175,0.475196,5.545115,0.008661,-0.018099,0.07123,5.902064,-0.010884,-0.058372,-0.050366,-0.015804,-0.029647,0.0,0.0,-0.0,-0.0,0.0,0.0,
1200,9.782543,-9.909136,-6.31632,0.039344,-0.019779,0.000278,15.0,0.0,0.0,0.0,0.0,0.0,-5.097003,0.224753,13.944058,0.01469,-0.005925,0.060733,14.921863,0.001311,-0.047259,-0.035645,-0.007002,-0.024899,-0.0,-0.0,-0.0,0.0,-0.0,0.0,
1230,4.38351,-4.956536,-2.978931,0.0627,0.007888,-0.017979,7.0,0.0,0.0,0.0,0.0,0.0,-2.379761,0.518037,6.71885,0.047814,-0.023168,0.076488,7.176043,-0.060626,-0.079198,-0.022314,-0.032362,-0.052647,0.0,-0.0,0.0,-0.0,0.0,0.0,
1260,-2.317402,2.770865,1.590498,0.010021,-0.008737,0.006805,-4.0,0.0,0.0,0.0,0.0,0.0,1.400019,-0.450357,-3.693015,0.019939,0.006548,0.031725,-3.968833,-0.049916,0.001461,-0.014762,-0.002221,-0.000128,0.0,0.0,0.0,-0.0,-0.0,-0.0,
1290,-2.316989,2.770901,1.590898,0.009898,-0.008782,0.006798,-4.0,0.0,0.0,0.0,0.0,0.0,1.39984,-0.450875,-3.692974,0.019907,0.006656,0.03166,-3.968781,-0.049803,0.0015,-0.014722,-0.002127,-6.7e-05,0.0,0.0,-0.0,0.0,0.0,-0.0,
1320,-1.33183,1.478871,0.924021,0.030504,-0.01278,0.009422,-2.0,0.0,0.0,0.0,0.0,0.0,0.761332,-0.210142,-2.048126,0.015129,-0.007806,0.046347,-2.199175,-0.099182,0.002799,-0.030682,-0.012077,-0.009775,-0.0,0.0,-0.0,0.0,0.0,-0.0,
