step,front_roll_raw_deg,front_pitch_raw_deg,front_yaw_raw_deg,rear_roll_raw_deg,rear_pitch_raw_deg,rear_yaw_raw_deg,front_roll_bias_deg,front_pitch_bias_deg,front_yaw_bias_deg,rear_roll_bias_deg,rear_pitch_bias_deg,rear_yaw_bias_deg,front_roll_cur_deg,front_pitch_cur_deg,front_yaw_cur_deg,rear_roll_cur_deg,rear_pitch_cur_deg,rear_yaw_cur_deg,front_joint_cmd_0_deg,front_joint_cmd_1_deg,front_joint_cmd_2_deg,rear_joint_cmd_0_deg,rear_joint_cmd_1_deg,rear_joint_cmd_2_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
660,-0.083057,0.07411,0.000784,0.042161,-0.012323,-0.000997,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006187,-0.017656,-0.005052,0.000171,0.001032,0.001313,0.0,0.0,0.0,0.0,0.0,0.0,0.091503,-0.000256,0.060501,0.031085,0.0127,0.023942,-0.100683,0.004029,-0.047331,-0.032637,-0.015271,-0.025142,-0.0,-0.0,0.0,0.0,0.0,-0.0,
690,-0.084678,0.065234,-0.000894,0.048174,-0.01446,0.000969,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.004566,-0.026532,-0.006729,0.006184,-0.001105,0.003278,0.0,0.0,0.0,0.0,0.0,0.0,0.085224,0.00548,0.063947,0.028207,0.008185,0.027931,-0.094653,-0.002495,-0.04963,-0.038415,-0.018028,-0.027,-0.0,0.0,-0.0,-0.0,0.0,-0.0,
720,-0.085867,0.057591,-0.002562,0.053697,-0.017252,0.002032,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.003377,-0.034175,-0.008398,0.011707,-0.003897,0.004341,0.0,0.0,0.0,0.0,0.0,0.0,0.079948,0.010402,0.06719,0.025314,0.004803,0.032362,-0.08925,-0.007906,-0.051674,-0.044015,-0.019685,-0.029314,-0.0,-0.0,-0.0,0.0,0.0,-0.0,
750,-0.083692,0.064492,-0.001574,0.049636,-0.016382,0.001714,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.005552,-0.027274,-0.007409,0.007646,-0.003027,0.004023,0.0,0.0,0.0,0.0,0.0,0.0,0.085011,0.005478,0.06534,0.026208,0.007504,0.029319,-0.093281,-0.002179,-0.049611,-0.040929,-0.017822,-0.027243,-0.0,0.0,-0.0,0.0,-0.0,-0.0,
780,-0.081465,0.069799,-0.001338,0.046979,-0.015652,0.001699,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.007779,-0.021967,-0.007173,0.004989,-0.002297,0.004008,0.0,0.0,0.0,0.0,0.0,0.0,0.089208,0.001601,0.064611,0.026812,0.009094,0.027151,-0.095846,0.002769,-0.048132,-0.038879,-0.016791,-0.025716,-0.0,0.0,0.0,-0.0,0.0,0.0,
810,-0.079062,0.074471,-0.00141,0.044964,-0.015051,0.00177,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.010181,-0.017295,-0.007246,0.002974,-0.001696,0.00408,0.0,0.0,0.0,0.0,0.0,0.0,0.093064,-0.001961,0.064444,0.027261,0.010233,0.02544,-0.097737,0.007493,-0.046807,-0.037323,-0.016085,-0.024489,0.0,0.0,0.0,-0.0,0.0,0.0,
840,-0.076698,0.078661,-0.00173,0.043409,-0.014585,0.002008,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.012545,-0.013105,-0.007566,0.001419,-0.00123,0.004317,0.0,0.0,0.0,0.0,0.0,0.0,0.09667,-0.005158,0.064589,0.027504,0.011005,0.024013,-0.099212,0.011953,-0.045709,-0.036192,-0.015601,-0.023397,0.0,0.0,-0.0,0.0,0.0,0.0,
870,-0.07456,0.082462,-0.002105,0.042005,-0.014155,0.002156,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.014683,-0.009304,-0.007941,1.5e-05,-0.0008,0.004466,0.0,0.0,0.0,0.0,0.0,0.0,0.09999,-0.008004,0.064765,0.027769,0.011737,0.022759,-0.100515,0.016022,-0.044791,-0.035141,-0.015173,-0.022477,-0.0,0.0,0.0,0.0,-0.0,0.0,
900,-0.072534,0.085761,-0.002366,0.040814,-0.013788,0.002312,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.016709,-0.006005,-0.008202,-0.001176,-0.000433,0.004621,0.0,0.0,0.0,0.0,0.0,0.0,0.102834,-0.010632,0.065001,0.027978,0.01234,0.021677,-0.101574,0.019638,-0.04383,-0.034256,-0.014799,-0.021658,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,
930,-0.071307,0.088367,-0.002222,0.039678,-0.013444,0.002395,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.017936,-0.003398,-0.008058,-0.002313,-8.9e-05,0.004705,0.0,0.0,0.0,0.0,0.0,0.0,0.10488,-0.012646,0.064721,0.02821,0.012956,0.020685,-0.102762,0.022131,-0.043014,-0.03338,-0.014413,-0.020934,0.0,0.0,0.0,0.0,0.0,0.0,
960,-0.069513,0.0913,-0.002212,0.038451,-0.013041,0.00241,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.01973,-0.000466,-0.008048,-0.003539,0.000315,0.004719,0.0,0.0,0.0,0.0,0.0,0.0,0.107268,-0.015116,0.064786,0.028531,0.01365,0.019645,-0.103802,0.025243,-0.041967,-0.032398,-0.014006,-0.020212,0.0,0.0,0.0,-0.0,0.0,0.0,
990,-0.068526,0.091906,-0.002215,0.037963,-0.012981,0.002577,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.020717,0.000141,-0.008051,-0.004027,0.000374,0.004886,0.0,0.0,0.0,0.0,0.0,0.0,0.107765,-0.01606,0.065238,0.028483,0.013874,0.019179,-0.103665,0.026238,-0.041398,-0.032149,-0.013826,-0.019796,-0.0,0.0,0.0,-0.0,0.0,0.0,
1020,-0.067687,0.091811,-0.002214,0.037638,-0.012871,0.00269,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.021556,4.5e-05,-0.00805,-0.004352,0.000484,0.004999,0.0,0.0,0.0,0.0,0.0,0.0,0.107687,-0.016615,0.065869,0.028508,0.013994,0.018839,-0.103121,0.02666,-0.04092,-0.031935,-0.013769,-0.01952,0.0,0.0,0.0,0.0,0.0,-0.0,
1050,-0.067152,0.091861,-0.002176,0.037222,-0.012745,0.002713,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.022091,9.5e-05,-0.008011,-0.004768,0.00061,0.005022,0.0,0.0,0.0,0.0,0.0,0.0,0.107705,-0.017036,0.066205,0.028597,0.014224,0.01848,-0.102857,0.026984,-0.040591,-0.031614,-0.013619,-0.019255,0.0,0.0,-0.0,0.0,0.0,-0.0,
1080,-0.066681,0.091635,-0.002014,0.036889,-0.012638,0.002696,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.022563,-0.000131,-0.00785,-0.005101,0.000718,0.005005,0.0,0.0,0.0,0.0,0.0,0.0,0.107428,-0.01737,0.066537,0.028695,0.014425,0.018211,-0.102492,0.027037,-0.04017,-0.031336,-0.013496,-0.019085,0.0,0.0,0.0,-0.0,0.0,0.0,
1110,-0.06615,0.091305,-0.002002,0.036649,-0.012591,0.002691,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.023094,-0.000461,-0.007837,-0.005341,0.000764,0.005001,0.0,0.0,0.0,0.0,0.0,0.0,0.107151,-0.017619,0.06704,0.028735,0.014579,0.018025,-0.101955,0.027112,-0.039858,-0.031158,-0.013388,-0.018945,0.0,0.0,0.0,0.0,-0.0,-0.0,
1140,-0.065488,0.090966,-0.002031,0.036378,-0.012512,0.002765,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.023755,-0.0008,-0.007867,-0.005612,0.000843,0.005074,0.0,0.0,0.0,0.0,0.0,0.0,0.106891,-0.01793,0.067664,0.028757,0.014696,0.017758,-0.101321,0.02726,-0.039504,-0.030974,-0.013327,-0.018731,0.0,0.0,0.0,-0.0,0.0,0.0,
1170,-0.064979,0.090667,-0.001888,0.036087,-0.01241,0.002745,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.024264,-0.001098,-0.007724,-0.005903,0.000945,0.005054,0.0,0.0,0.0,0.0,0.0,0.0,0.106565,-0.018252,0.068063,0.028852,0.014871,0.017523,-0.100878,0.027291,-0.039101,-0.030733,-0.013214,-0.018581,-0.0,0.0,0.0,-0.0,0.0,-0.0,
1200,-0.064454,0.090313,-0.001943,0.035864,-0.012366,0.00274,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.024789,-0.001453,-0.007779,-0.006126,0.000989,0.00505,0.0,0.0,0.0,0.0,0.0,0.0,0.106308,-0.018447,0.06861,0.02889,0.015014,0.01735,-0.100306,0.027365,-0.038839,-0.030567,-0.013109,-0.018449,0.0,0.0,-0.0,0.0,0.0,0.0,
1230,-0.064092,0.090037,-0.001802,0.035659,-0.012271,0.002726,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.025152,-0.001729,-0.007638,-0.006331,0.001084,0.005035,0.0,0.0,0.0,0.0,0.0,0.0,0.106,-0.018672,0.068898,0.028976,0.015128,0.017175,-0.09995,0.027329,-0.038514,-0.030377,-0.013044,-0.018335,0.0,0.0,0.0,-0.0,0.0,-0.0,
1260,-0.063647,0.089725,-0.001749,0.035451,-0.012248,0.00277,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.025597,-0.002041,-0.007585,-0.006539,0.001108,0.00508,0.0,0.0,0.0,0.0,0.0,0.0,0.105715,-0.01889,0.069309,0.02897,0.01524,0.016992,-0.099497,0.027338,-0.038204,-0.030253,-0.012971,-0.018194,-0.0,0.0,0.0,0.0,-0.0,-0.0,
1290,-0.063322,0.089628,-0.001716,0.035182,-0.012185,0.002688,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.025922,-0.002138,-0.007551,-0.006808,0.00117,0.004998,0.0,0.0,0.0,0.0,0.0,0.0,0.105616,-0.019099,0.069559,0.029068,0.015452,0.016824,-0.099249,0.027443,-0.037997,-0.030027,-0.01282,-0.018099,-0.0,0.0,-0.0,0.0,0.0,-0.0,
1320,-0.063062,0.089451,-0.001738,0.035038,-0.012155,0.002679,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026182,-0.002315,-0.007574,-0.006952,0.0012,0.004988,0.0,0.0,0.0,0.0,0.0,0.0,0.105485,-0.019198,0.069828,0.029098,0.015547,0.016715,-0.098972,0.027483,-0.03787,-0.029915,-0.01276,-0.018019,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,
1350,-0.062663,0.089903,-0.003494,0.034838,-0.012083,0.002729,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026581,-0.001863,-0.00933,-0.007153,0.001272,0.005038,0.0,0.0,0.0,0.0,0.0,0.0,0.106867,-0.01865,0.07094,0.029128,0.015631,0.016515,-0.098338,0.028739,-0.039063,-0.029766,-0.012717,-0.017873,-0.0,0.0,0.0,0.0,0.0,-0.0,
1380,-0.063037,0.091033,-0.003628,0.034166,-0.011962,0.002708,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026207,-0.000732,-0.009464,-0.007824,0.001393,0.005017,0.0,0.0,0.0,0.0,0.0,0.0,0.107868,-0.01877,0.070291,0.029238,0.016068,0.016003,-0.099308,0.029379,-0.039397,-0.029284,-0.012404,-0.017495,-0.0,-0.0,-0.0,0.0,0.0,0.0,
1410,-0.063052,0.091476,-0.003696,0.034202,-0.011932,0.002781,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026191,-0.00029,-0.009531,-0.007788,0.001423,0.00509,0.0,0.0,0.0,0.0,0.0,0.0,0.108268,-0.0189,0.070138,0.029221,0.015988,0.015974,-0.099595,0.029713,-0.039463,-0.029317,-0.012475,-0.01746,0.0,0.0,-0.0,0.0,0.0,-0.0,
1440,-0.063043,0.091529,-0.003685,0.034163,-0.011927,0.002772,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.0262,-0.000237,-0.009521,-0.007827,0.001429,0.005082,0.0,0.0,0.0,0.0,0.0,0.0,0.108306,-0.018934,0.070117,0.02923,0.016019,0.015949,-0.099629,0.02975,-0.039453,-0.029283,-0.01246,-0.017446,-0.0,0.0,-0.0,-0.0,0.0,-0.0,
1470,-0.063012,0.091418,-0.00366,0.034018,-0.011919,0.002778,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026232,-0.000348,-0.009496,-0.007973,0.001436,0.005088,0.0,0.0,0.0,0.0,0.0,0.0,0.108201,-0.018926,0.07017,0.029232,0.016115,0.01584,-0.099547,0.029688,-0.039407,-0.029204,-0.012374,-0.017357,0.0,-0.0,0.0,0.0,-0.0,-0.0,
1500,-0.06301,0.09148,-0.003681,0.034174,-0.011918,0.002773,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026233,-0.000286,-0.009517,-0.007816,0.001438,0.005082,0.0,0.0,0.0,0.0,0.0,0.0,0.108263,-0.01894,0.070158,0.029237,0.016007,0.015953,-0.099569,0.029728,-0.039424,-0.029291,-0.012468,-0.017449,-0.0,-0.0,-0.0,0.0,0.0,0.0,
1530,-0.062994,0.091422,-0.003676,0.034133,-0.011923,0.002769,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026249,-0.000344,-0.009512,-0.007857,0.001432,0.005078,0.0,0.0,0.0,0.0,0.0,0.0,0.108213,-0.01893,0.07019,0.029235,0.016041,0.015928,-0.099536,0.029704,-0.039405,-0.029261,-0.012443,-0.017427,0.0,-0.0,-0.0,-0.0,0.0,-0.0,
1560,-0.062975,0.091401,-0.00365,0.034095,-0.011919,0.002772,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.026268,-0.000364,-0.009486,-0.007895,0.001436,0.005082,0.0,0.0,0.0,0.0,0.0,0.0,0.108181,-0.01895,0.070197,0.029236,0.016064,0.015898,-0.099518,0.029684,-0.039381,-0.029241,-0.012422,-0.017403,-0.0,-0.0,0.0,0.0,-0.0,-0.0,
1590,13.359928,-12.550505,-9.494389,0.038577,-0.01766,-0.0015,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,13.449171,-12.64227,-9.500225,-0.003413,-0.004305,0.000809,20.0,0.0,0.0,0.0,0.0,0.0,-6.11521,0.357594,18.914638,0.027017,0.017703,0.023878,19.921859,0.002226,-0.046773,-0.033269,-0.007834,-0.025176,0.0,0.0,-0.0,-0.0,-0.0,-0.0,
1620,13.386931,-12.634056,-9.33716,0.041911,-0.019714,0.005132,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,13.476174,-12.725822,-9.342996,-7.9e-05,-0.006359,0.007441,20.0,0.0,0.0,0.0,0.0,0.0,-6.282043,0.233539,18.878433,0.021512,0.012354,0.023246,19.924227,0.003087,-0.05073,-0.039227,-0.011311,-0.02246,0.0,0.0,0.0,0.0,0.0,-0.0,
1650,13.442639,-12.818625,-8.974629,0.040611,-0.021063,0.004426,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,13.531883,-12.910391,-8.980464,-0.001379,-0.007708,0.006735,20.0,0.0,0.0,0.0,0.0,0.0,-6.658508,-0.048977,18.789737,0.020818,0.014232,0.023285,19.927784,0.000483,-0.051184,-0.038935,-0.008902,-0.02274,0.0,0.0,0.0,0.0,0.0,0.0,
1680,13.503979,-13.10247,-8.371433,0.046568,-0.020762,0.002,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,13.593223,-13.194236,-8.377269,0.004577,-0.007407,0.004309,20.0,0.0,0.0,0.0,0.0,0.0,-7.258385,-0.497946,18.618263,0.022466,0.011296,0.028774,19.920769,-0.008776,-0.052732,-0.040272,-0.010361,-0.029566,0.0,0.0,0.0,0.0,-0.0,0.0,
